ID,Cassette No.,Date,Database,Station,Language,Length,Kinyarwanda transcript,Notes
K0143503- K0143513,3,14/05/1994,MIGS; ICTR,RTLM,French,11 Pages,K0210566-K0210585,
K0161617-K0161639,4,12/04/1994,ICTR,RTLM,French,22 Pages,K0140736-K0140781,
K0163171-K0163187,4,12/04/1994,ICTR,RTLM,English,16 Pages,K0140736-K0140781,
K0143588- K0143594,7,15-16/05/1994,MIGS; Genocide Archives; ICTR,RTLM,French,Excerpts,K0206627-K0206647,
K0143597-K0143597 ,8,17/05/1994,Genocide Archives; ICTR,RTLM,English,14 pages,K0210641-K0210662,Sections missing at the end
K0169252 -K0169278,9,17-18/05/1994,MIGS; Genocide Archives; ICTR,RTLM,English,90 mins (27 pages),K0145717-K0145739,
K0166261-K0166293,9,17-18/05/1994,Genocide Archives; ICTR,RTLM,French,90 mins (32 pages),K0145717-K0145739,
K0143648-K0143673,10,21/05/1994,Genocide Archives,RTLM,French,25 Pages,K0206647-K0206665,
K0235676-K0235687,11,28/05/1994,MIGS; Genocide Archives; ICTR,RTLM,French,25 Pages,K0223818-K0223846,
K0143673-K0143679,11,28/05/1994,MIGS; Genocide Archives; ICTR,RTLM,English,Excerpts,K0223818-K0223846,
K0143688-K0143699,12,28/05/1994,MIGS; ICTR,RTLM,English,12 Pages ,K0206493-K0206528,
K0143700-K0143706,14,29/05/1994,MIGS; Genocide Archives; ICTR,RTLM,English,7 pages,N/A,
K0143707- K0145711,15,29/05/1994,MIGS,RTLM,French,5 pages,N/A,
K0238651- K0238684,16,30/05/1994,MIGS; Genocide Archives; ICTR,RTLM,French,60 mins (34 pages),K0205663-K0205690,
K0238685-K0238704,16,30/05/1994,MIGS; Genocide Archives; ICTR,RTLM,English,60 mins (20 pages),K0205663-K0205690,
N/A,17,31/05/1994,MIGS; ICTR,RTLM,English,Excerpts,K0145765-K0145793 ,
K0143712-K0143712,17,31/05/1994,Genocide Archives; ICTR,RTLM,French,Excerpts,K0145765-K0145793 ,
K0143724-K0143738,18,31/05/1994,Genocide Archives; ICTR,RTLM,French,16 Pages,K0163629-K0163655,
K0143739-K0143758,19,01/06/1994,Genocide Archives,RTLM,French,19 pages ,K0165746-K0165770,
N/A,20,02/06/1994,MIGS; Genocide Archives; ICTR,RTLM,English,Excerpts,K0140782-K0140808,
K0164027-K0164060,20,02/06/1994,Genocide Archives,RTLM,French,60 mins (34 pages),K0140782-K0140808,
